trial_0: [282353.796734125, 282358.83373858395]
trial_1: [282366.39477429196, 282371.41258966696]
trial_2: [282378.980876125, 282384.05000845896]
trial_3: [282391.597194292, 282396.624290417]
trial_4: [282404.18642162497, 282409.19914625]
trial_5: [282416.760981125, 282421.783692292]
trial_6: [282429.39068791695, 282434.44577516697]
trial_7: [282442.035572375, 282447.110814625]
trial_8: [282454.68002791697, 282459.73192012496]
trial_9: [282467.283293625, 282472.308839042]
trial_10: [282479.901073, 282484.92670404195]
trial_11: [282492.51160033396, 282497.53609174996]
trial_12: [282505.100259917, 282510.166361459]
trial_13: [282517.739457834, 282522.761558625]
trial_14: [282530.29500516696, 282535.312434042]
trial_15: [282542.849579292, 282547.88772845897]
prompts: ['Right Fist', 'Typing', 'Typing', 'Left Fist', 'Swim', 'Right Fist', 'Left Fist', 'Swim', 'Left Fist', 'Right Fist', 'Right Fist', 'Swim', 'Typing', 'Left Fist', 'Typing', 'Swim']
