trial_0: [1853.22089725, 1858.315287333]
trial_1: [1865.8877237079998, 1870.916937916]
trial_2: [1878.4794964579999, 1883.508770333]
trial_3: [1891.05189725, 1896.0748661659998]
trial_4: [1903.632655916, 1908.6511860409998]
trial_5: [1916.19573625, 1921.246579833]
trial_6: [1928.8070600409999, 1933.829417291]
trial_7: [1941.3677377499998, 1946.404463791]
trial_8: [1953.947164708, 1958.9732455829999]
trial_9: [1966.5287885, 1971.5471573329999]
trial_10: [1979.1028508749998, 1984.1451124579999]
trial_11: [1991.6875768329999, 1996.709090916]
prompts: ['Typing', 'Right Fist', 'Swim', 'Left Fist', 'Typing', 'Swim', 'Left Fist', 'Typing', 'Right Fist', 'Left Fist', 'Swim', 'Left Fist']
